Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
20.230000000000363,4.230770761879167,655603.1562069785,0.0432,1.316,0.97,19150.1822723422,4.5,2.9342557783915244,890.009232671312,0,1.2965149834876422,935,0.112,1.33
20.240000000000364,4.223245259286919,654472.8058133275,0.0432,1.316,0.97,19117.16471306859,4.5,2.928625819665909,890.009232671312,0,1.2946194396210102,935,0.112,1.33
20.250000000000366,4.215732731220937,653344.4443660795,0.0432,1.316,0.97,19084.205250962124,4.5,2.9230075834695066,890.009232671312,0,1.292725147751431,935,0.112,1.33
20.260000000000367,4.208233158649817,652217.7380354734,0.0432,1.316,0.97,19051.29413484831,4.5,2.917401050932744,890.009232671312,0,1.2908321077170726,935,0.112,1.33
20.27000000000037,4.200746521543792,647631.9529607595,0.0432,1.3144,0.97,18977.743092269873,4.5,2.911806202290536,890.009232671312,0,1.2889403192532554,935,0.112,1.33
20.28000000000037,4.193262571459282,647399.5123498366,0.0432,1.3144,0.97,18970.93181901793,4.5,2.9062138197645955,890.009232671312,0,1.287048751694687,935,0.112,1.33
20.290000000000372,4.185794170903697,646054.3973669347,0.0432,1.3144,0.97,18931.515532563295,4.5,2.900635469464974,890.009232671312,0,1.2851587014387233,935,0.112,1.33
20.300000000000374,4.178338000734051,644996.4056679289,0.0432,1.3144,0.97,18900.512901260598,4.5,2.8950681649158057,890.009232671312,0,1.283269835818245,935,0.112,1.33
20.310000000000375,4.170894886556772,643866.9946839359,0.0432,1.3144,0.97,18867.417450361645,4.5,2.8895126466765415,890.009232671312,0,1.2813822398802297,935,0.112,1.33
20.320000000000377,4.163464591649993,642758.0613861146,0.0432,1.3144,0.97,18834.922062917733,4.5,2.883968700187946,890.009232671312,0,1.2794958914620471,935,0.112,1.33
20.33000000000038,4.156047151706804,641646.0404507052,0.0432,1.3144,0.97,18802.336197552468,4.5,2.8784363557822674,890.009232671312,0,1.277610795924536,935,0.112,1.33
20.34000000000038,4.148642532514374,640536.9791071079,0.0432,1.3144,0.97,18769.837057946806,4.5,2.87291558096135,890.009232671312,0,1.2757269515530238,935,0.112,1.33
