Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.01,4,0.1413230346777690620339264461,0.187142681503125,0.187142681503125,0.142014070262531,0.142014070262531,0.640409967368414,0.6519043744234747641429739469,0.4340318771555277641429739469,0.217872497267947,9.337840914422606019764359868,132.92664875386149690817929733,132.92664904092765101020007199,1788243000
12.02,4,0.1413012409390782023005472994,0.187099842300808,0.187099842300808,0.14199216995771,0.14199216995771,0.640111291959032,0.6516034382606866992708998901,0.4338147400754966992708998901,0.21778869818519,9.333530321353099852370089211,132.90888271956784327629444961,132.90888300409379087992839678,1789732000
12.03,4,0.1412794939435378357681967309,0.187057077874759,0.187057077874759,0.141970316624602,0.141970316624602,0.639813012533035,0.6513029023328171482574830057,0.4335978596684811482574830057,0.217705042664336,9.329225461223543523967357293,132.89113467438484866386414447,132.89113495637114583994307952,1791221000
12.04,4,0.1412577820554736440424774427,0.187014372616685,0.187014372616685,0.141948498570637,0.141948498570637,0.639515073501261,0.6510027100973370756549702849,0.4333811795476480756549702849,0.217621530549689,9.324925524121908940905050787,132.87341519074149151218292221,132.87341547019029905733530807,1792710000
12.05,4,0.1412361152207482171809008662,0.186971734394318,0.186971734394318,0.141926725790311,0.141926725790311,0.639217444100577,0.6507028314148752378409069986,0.4331646697293292378409069986,0.217538161685546,9.32063007833353050787623877,132.85567670553762595795700468,132.85567698244390296240452892,1794199000
12.06,4,0.1412144852137040137205002453,0.186929157145632,0.186929157145632,0.141904990017744,0.141904990017744,0.638920156136202,0.6504032975903093571779000245,0.4329483616740963571779000245,0.217454935916213,9.316339572267677637487944721,132.83794371720817286503673065,132.83794399157056980556476882,1795688000
12.07,4,0.1411929035031676894542090501,0.186886656409206,0.186886656409206,0.141883302777844,0.141883302777844,0.63862326660386,0.6501041665644424909008140339,0.4327323134784544909008140339,0.217371853085988,9.312054835865303584218123714,132.82023164269747060196536897,132.82023191451691916651891505,1797176000
12.08,4,0.1411713634608865922800646103,0.186844215347995,0.186844215347995,0.141861657409947,0.141861657409947,0.638326630207096,0.6498052922202594465929064777,0.4325163791810874465929064777,0.217288913039172,9.307773776154335070673799226,132.80253598142292341209279287,132.8025362506997239067061438,1798665000
12.09,4,0.1411498586178853646724602756,0.186801838050182,0.186801838050182,0.141840047413445,0.141840047413445,0.638030398599709,0.6495068261273177420125605128,0.4323007105072487420125605128,0.217206115620069,9.303498564208714349461994733,132.78483578221210074616023987,132.7848360489433088973453182,1800154000
12.10,4,0.1411283995493401980233081010,0.186759529801489,0.186759529801489,0.141818483415226,0.141818483415226,0.637734495028338,0.6492086920879351808799444285,0.4320852314149571808799444285,0.217123460672978,9.299228108577097201103688112,132.76714334019779959736903599,132.76714360438234174517624075,1801643000
12.11,4,0.1411069866251123082139977209,0.186717292085645,0.186717292085645,0.141796965786959,0.141796965786959,0.637438935383232,0.6489109060571534749958961428,0.4318699580149524749958961428,0.217040948042201,9.294962637798619752162880041,132.74945404946592497617165481,132.74945431110200818268451087,1803132000
